"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","should display an error message without entering a password","","Sat Aug 24 10:25:14 UTC 2024","passed","Sat Aug 24 10:25:14 UTC 2024","","Login Page","",""
"","659","should not have an empty cart after logging out and back in","","Sat Aug 24 10:25:18 UTC 2024","passed","Sat Aug 24 10:25:18 UTC 2024","","Home Page","",""
"","819","should display a list of products after login","","Sat Aug 24 10:25:14 UTC 2024","passed","Sat Aug 24 10:25:15 UTC 2024","","Home Page","",""
"","565","should sort products by price from low to high","","Sat Aug 24 10:25:16 UTC 2024","passed","Sat Aug 24 10:25:17 UTC 2024","","Home Page","",""
"","463","should add multiple products to the cart and verify cart count","","Sat Aug 24 10:25:18 UTC 2024","passed","Sat Aug 24 10:25:19 UTC 2024","","Home Page","",""
"","1476","should open the Twitter page and verify URL","","Sat Aug 24 10:25:19 UTC 2024","passed","Sat Aug 24 10:25:20 UTC 2024","","Home Page","",""
"","1731","should display an error message with empty fields","","Sat Aug 24 10:25:13 UTC 2024","passed","Sat Aug 24 10:25:15 UTC 2024","","Home Page","",""
"","304","should show error message with empty fields","","Sat Aug 24 10:25:13 UTC 2024","passed","Sat Aug 24 10:25:14 UTC 2024","","Login Page","",""
"","698","should add a product to the cart and verify the cart count","","Sat Aug 24 10:25:15 UTC 2024","passed","Sat Aug 24 10:25:15 UTC 2024","","Home Page","",""
"","512","should successfully log out from the account","","Sat Aug 24 10:25:15 UTC 2024","passed","Sat Aug 24 10:25:16 UTC 2024","","Login Page","",""
"","641","should be able to remove a product from the cart","","Sat Aug 24 10:25:15 UTC 2024","passed","Sat Aug 24 10:25:16 UTC 2024","","Home Page","",""
"","1167","should display an error message without entering a Last Name","","Sat Aug 24 10:25:16 UTC 2024","passed","Sat Aug 24 10:25:18 UTC 2024","","Home Page","",""
"","509","should sort products by name from Z to A","","Sat Aug 24 10:25:17 UTC 2024","passed","Sat Aug 24 10:25:18 UTC 2024","","Home Page","",""
"","375","should display an error message with invalid username and password","","Sat Aug 24 10:25:14 UTC 2024","passed","Sat Aug 24 10:25:15 UTC 2024","","Login Page","",""
"","436","should display an error message without entering a username","","Sat Aug 24 10:25:14 UTC 2024","passed","Sat Aug 24 10:25:14 UTC 2024","","Login Page","",""
"","1399","should open the Facebook page and verify URL","","Sat Aug 24 10:25:20 UTC 2024","passed","Sat Aug 24 10:25:22 UTC 2024","","Home Page","",""
"","409","should sort products by name from A to Z","","Sat Aug 24 10:25:17 UTC 2024","passed","Sat Aug 24 10:25:17 UTC 2024","","Home Page","",""
"","592","should successfully log in with valid credentials","","Sat Aug 24 10:25:15 UTC 2024","passed","Sat Aug 24 10:25:15 UTC 2024","","Login Page","",""
